route_no,direction_no,latitude,longitude,yaw,score,image_name,direction,,,,,
0,0,40.43822587,-80.001345,290.4264221,34,kdcPCI99FNclUe1i-tCh1Q,Head northwest on Boulevard of the Allies toward Wood St,,,,,
0,1,40.43835313,-80.00168501,290.7242126,132,lUcyBA213Yu-S18duKSMhg,Turn left onto Wood St,,,,lat ,
0,2,40.43758444,-80.0025058,214.5190887,448,o6KFUu-NQOrKNTPGcclHIA,Turn right onto Fort Pitt Blvd,,,,40.42610873,
0,3,40.43911463,-80.00720281,291.2521057,139,XuAQybYmcdyyz5EAGXrS1Q,Take the ramp on the left,,,,40.44390613,
0,4,40.43954774,-80.00862399,304.2702332,753,4XjCs55XororqXFWT4twwQ,[goal],,,,,
1,0,40.4264537,-80.01170788,356.6239624,39,BvQGTY0uuGFsC4LQnVNQGQ,Head north on Prospect St toward Wilbert St,,,,long ,
1,1,40.42678272,-80.01172537,357.520752,209,2Hxe2Z9UmDC1lSvEEy0Lew,Turn left onto Wilbert St,,,,-80.03099328,
1,2,40.42706723,-80.01401433,271.3887024,290,4p1pqCuiNmMyo5MTtw_-fA,Turn right onto Belonda St,,,,-79.99313506,
1,3,40.42911955,-80.01248737,67.31639099,87,pieavAxdtcgOPPPoKOfMQQ,Turn left onto Lowen St,,,,,
1,4,40.42967229,-80.01271762,320.6955261,375,mOL9TX7y2NF3s1UvHHT3Hw,Turn left onto Grace St,,,,,
1,5,40.42728525,-80.01518348,215.3914642,1000,G9QQkl7HOWiE4Q1tVkRYhA,[goal],,,,,
2,0,40.43298922,-80.02017727,193.1479034,15,_YUkX61Z-lh3DbW3mxTfBg,Head south on Fetterman Way toward Virginia Ave,,,,,
2,1,40.43280324,-80.02022069,193.174469,46,NVe5AQXG_2WN7a8g4BF-iA,Turn right onto Virginia Ave,,,,,
2,2,40.43272412,-80.02060105,277.2664185,636,Pm-Zuc4NQ1CMyr1Dt-KlzA,Turn right at the 1st cross street onto Oneida St,,,,,
2,3,40.43813698,-80.01944878,36.13290787,211,LfJPz4E0EgSNXqmzy8WoFA,Turn left onto Grandview Ave,,,,,
2,4,40.43918223,-80.02126308,303.0490417,14,iXh2S-76Zvy_sJR1kfpBNw,Turn left onto Sweetbriar St,,,,,
2,5,40.43930127,-80.02144614,193.1659698,922,Ed5uw4gwMo6CQlIwZd7g4w,[goal],,,,,
3,0,40.427362,-80.0151294,35.17104721,516,SfWd6TgLzDnu8uyyIW8hcg,Head northeast on Grace St toward Mann St,,,,,
3,1,40.4306807,-80.01111778,48.54154205,211,QeOSKlWG8ZjafWzfBpMQ3w,Sharp left onto Woodruff St,,,,,
3,2,40.43043202,-80.01310894,250.188324,578,z919YRfkCnah_yw4BMknig,Turn right onto Merrimac St,,,,,
3,3,40.43521041,-80.01299505,25.72613907,850,8HtzNVcw-CmJM2cfoGLr2w,Turn left onto Grandview Ave,,,,,
3,4,40.43918223,-80.02126308,303.0490417,66,iXh2S-76Zvy_sJR1kfpBNw,Turn left onto Sweetbriar St,,,,,
3,5,40.43890915,-80.02153801,193.1851807,2221,751W7GwNQptDmVCFxjGfQA,[goal],,,,,
4,0,40.42846666,-80.00637277,0.846464157,28,4hyPXbhg5V9ACnQDPfJC_g,Head north on Wyoming St toward Virginia Ave,,,,,
4,1,40.42876511,-80.00636646,1.776186228,568,Pwa12u8mQLxleIl00MbLfw,Turn left onto Virginia Ave,,,,,
4,2,40.43137761,-80.01187578,279.9777222,128,gXh2JcNibYnwbehb4d89Mg,Turn right onto Bertha St,,,,,
4,3,40.43236135,-80.01182903,15.99445629,47,2qJco85C3tfejoZA-0HabA,Turn right at the 1st cross street onto W Sycamore St,,,,,
4,4,40.43249388,-80.01151713,100.3397446,771,e5OFOdMpOSEmBcykfvLYNg,[goal],,,,,
5,0,40.42994819,-80.00825714,298.0889893,633,gyyL2vl4vzfHk74TlvyW5A,Head northwest on Virginia Ave toward Cuthbert St,,,,,
5,1,40.43194684,-80.01517239,278.8414001,49,lOhzG8peNaGN9adHGfwUTA,Turn right onto Bigham St,,,,,
5,2,40.43225406,-80.01534779,11.44554138,682,BcaX711f2UXuAO4MW1srQg,[goal],,,,,
6,0,40.43262164,-79.99688889,34.76506424,167,7Ob1OTFbpo7SviYDtEwLTw,Head northeast on Liberty Bridge,,,,,
