pano_id,id,h_offset,lat,lon
25mQGDMk7io--N3UBY1iZw,0,0,34.0183801,-118.2890007
25mQGDMk7io--N3UBY1iZw,1,90,34.0183801,-118.2890007
25mQGDMk7io--N3UBY1iZw,2,180,34.0183801,-118.2890007
25mQGDMk7io--N3UBY1iZw,3,270,34.0183801,-118.2890007
S1_keQbQDZMTUhBFmB6nog,4,0,34.018494313,-118.288945269
S1_keQbQDZMTUhBFmB6nog,5,90,34.018494313,-118.288945269
S1_keQbQDZMTUhBFmB6nog,6,180,34.018494313,-118.288945269
S1_keQbQDZMTUhBFmB6nog,7,270,34.018494313,-118.288945269
DmBMH9NTGFyuPzpz6KJb4w,8,0,34.0189236,-118.2886639
DmBMH9NTGFyuPzpz6KJb4w,9,90,34.0189236,-118.2886639
DmBMH9NTGFyuPzpz6KJb4w,10,180,34.0189236,-118.2886639
DmBMH9NTGFyuPzpz6KJb4w,11,270,34.0189236,-118.2886639
Y5rVNrL-nkIJa1iVLRAETg,12,0,34.0191766041,-118.289375144
Y5rVNrL-nkIJa1iVLRAETg,13,90,34.0191766041,-118.289375144
Y5rVNrL-nkIJa1iVLRAETg,14,180,34.0191766041,-118.289375144
Y5rVNrL-nkIJa1iVLRAETg,15,270,34.0191766041,-118.289375144
8rMSmEIUIO9ZI8DASnOJSw,16,0,34.0193938,-118.2898718
8rMSmEIUIO9ZI8DASnOJSw,17,90,34.0193938,-118.2898718
8rMSmEIUIO9ZI8DASnOJSw,18,180,34.0193938,-118.2898718
8rMSmEIUIO9ZI8DASnOJSw,19,270,34.0193938,-118.2898718
D_LBCSNL7X_5E7-GxP4-Ew,20,0,34.0195072665,-118.290111258
D_LBCSNL7X_5E7-GxP4-Ew,21,90,34.0195072665,-118.290111258
D_LBCSNL7X_5E7-GxP4-Ew,22,180,34.0195072665,-118.290111258
D_LBCSNL7X_5E7-GxP4-Ew,23,270,34.0195072665,-118.290111258
jScUJov8h96ORdZVA5FVJg,24,0,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,25,90,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,26,180,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,27,270,34.0196788127,-118.290498002
or7lzWwvMhAzylF0c2nHog,28,0,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,29,90,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,30,180,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,31,270,34.019761,-118.2907023
WHA_eyR8_qo4qjZqCt0m5g,32,0,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,33,90,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,34,180,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,35,270,34.0198717,-118.290982
vrPWBX36fC5Qg7s8-Wj-uw,36,0,34.0199907,-118.2912489
vrPWBX36fC5Qg7s8-Wj-uw,37,90,34.0199907,-118.2912489
vrPWBX36fC5Qg7s8-Wj-uw,38,180,34.0199907,-118.2912489
vrPWBX36fC5Qg7s8-Wj-uw,39,270,34.0199907,-118.2912489
WHA_eyR8_qo4qjZqCt0m5g,40,0,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,41,90,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,42,180,34.0198717,-118.290982
WHA_eyR8_qo4qjZqCt0m5g,43,270,34.0198717,-118.290982
or7lzWwvMhAzylF0c2nHog,44,0,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,45,90,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,46,180,34.019761,-118.2907023
or7lzWwvMhAzylF0c2nHog,47,270,34.019761,-118.2907023
jScUJov8h96ORdZVA5FVJg,48,0,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,49,90,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,50,180,34.0196788127,-118.290498002
jScUJov8h96ORdZVA5FVJg,51,270,34.0196788127,-118.290498002
xIaZInR_hsgKK481RAxDKw,52,0,34.0208191978,-118.291491779
xIaZInR_hsgKK481RAxDKw,53,90,34.0208191978,-118.291491779
xIaZInR_hsgKK481RAxDKw,54,180,34.0208191978,-118.291491779
