route_no,latitude,longitude
1,34.01835,-118.29146
1,34.01838,-118.29146
1,34.01838,-118.29139
1,34.01838,-118.29132
1,34.0183477,-118.2914598
1,34.0183781,-118.2913219
2,34.01835,-118.29146
2,34.01838,-118.29146
2,34.01838,-118.29139
2,34.01837,-118.29088
2,34.0183477,-118.2914598
2,34.0183737,-118.2908771
3,34.01835,-118.29146
3,34.01838,-118.29146
3,34.01838,-118.29139
3,34.01837,-118.29088
3,34.01837,-118.29057
3,34.0183477,-118.2914598
3,34.0183707,-118.29057
4,34.01835,-118.29146
4,34.01838,-118.29146
4,34.01838,-118.29139
4,34.01837,-118.29088
4,34.01837,-118.29057
4,34.01837,-118.29048
4,34.0183477,-118.2914598
4,34.0183698,-118.2904792
5,34.01835,-118.29146
5,34.01838,-118.29146
5,34.01838,-118.29139
5,34.01837,-118.29088
5,34.01837,-118.29057
5,34.01837,-118.29048
5,34.01837,-118.29014
5,34.0183477,-118.2914598
5,34.0183656,-118.2901396
6,34.01835,-118.29146
6,34.01838,-118.29146
6,34.01838,-118.29139
6,34.01837,-118.29088
6,34.01837,-118.29057
6,34.01837,-118.29048
6,34.01837,-118.29014
6,34.01837,-118.28952
6,34.0183477,-118.2914598
6,34.0183713,-118.2895205
7,34.01835,-118.29146
7,34.01838,-118.29146
7,34.01838,-118.29139
7,34.01837,-118.29088
7,34.01837,-118.29057
7,34.01837,-118.29048
7,34.01837,-118.29014
7,34.01837,-118.28952
7,34.01837,-118.28941
7,34.0183477,-118.2914598
7,34.0183724,-118.2894062
8,34.01835,-118.29146
8,34.01838,-118.29146
8,34.01838,-118.29139
8,34.01837,-118.29088
8,34.01837,-118.29057
8,34.01837,-118.29048
8,34.01837,-118.29014
8,34.01837,-118.28952
8,34.01837,-118.28941
8,34.01838,-118.28904
8,34.0183477,-118.2914598
8,34.0183758,-118.2890447
9,34.01835,-118.29146
9,34.01838,-118.29146
9,34.01838,-118.29139
9,34.01837,-118.29088
9,34.01837,-118.29057
9,34.01837,-118.29048
9,34.01837,-118.29014
