route_no,latitude,longitude
1,34.01835,-118.29146
1,34.01838,-118.29146
1,34.01838,-118.29139
1,34.01837,-118.29088
1,34.01837,-118.29057
1,34.01837,-118.29048
1,34.01837,-118.29018
1,34.01829,-118.29018
1,34.0183477,-118.2914598
1,34.0182942,-118.2901805
2,34.01835,-118.29146
2,34.01838,-118.29146
2,34.01838,-118.29139
2,34.01837,-118.29088
2,34.01837,-118.29057
2,34.01837,-118.29048
2,34.01837,-118.29014
2,34.01837,-118.28952
2,34.01837,-118.28941
2,34.01838,-118.28904
2,34.01838,-118.28896
2,34.01838,-118.28889
2,34.0183477,-118.2914598
2,34.0183763,-118.2888865
3,34.01835,-118.29146
3,34.01838,-118.29146
3,34.01838,-118.29139
3,34.01837,-118.29088
3,34.01837,-118.29057
3,34.01837,-118.29048
3,34.01837,-118.29014
3,34.01837,-118.28952
3,34.01837,-118.28941
3,34.01838,-118.28904
3,34.01838,-118.28896
3,34.01838,-118.28779
3,34.01838,-118.28758
3,34.0183477,-118.2914598
3,34.0183787,-118.287583
4,34.01835,-118.29146
4,34.01838,-118.29146
4,34.01838,-118.29139
4,34.01837,-118.29088
4,34.01837,-118.29057
4,34.01837,-118.29048
4,34.01837,-118.29014
4,34.01837,-118.28952
4,34.01837,-118.28941
4,34.01838,-118.28904
4,34.01838,-118.28896
4,34.01838,-118.28779
4,34.01838,-118.28742
4,34.01838,-118.28663
4,34.01831,-118.28663
4,34.0183477,-118.2914598
4,34.0183051,-118.2866303
5,34.01835,-118.29146
5,34.01838,-118.29146
5,34.01838,-118.29139
5,34.01837,-118.29088
5,34.01837,-118.29057
5,34.01837,-118.29048
5,34.01837,-118.29014
5,34.01837,-118.28952
5,34.01837,-118.28941
5,34.01838,-118.28904
5,34.01838,-118.28896
5,34.01838,-118.28779
5,34.01838,-118.28742
5,34.01838,-118.28663
5,34.01837,-118.28612
5,34.01837,-118.28537
5,34.0183477,-118.2914598
5,34.0183715,-118.2853664
6,34.01835,-118.29146
6,34.01838,-118.29146
6,34.01838,-118.29139
